,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
CA_34_2018,CA,34,2018,48.8,10.8,19.1,34.8,3.2,16.5,27.7,37.9,2.0,88.3,65.6,75.2,4.6,17.9,16.4,22.1,612600,46883,12.5,0.8544686371786337
CA_35_2018,CA,35,2018,49.0,11.6,15.6,32.6,2.0,6.8,15.9,42.1,3.5,89.5,78.6,58.7,4.2,1.5,10.4,16.3,367900,60741,14.2,0.39562979068465237
CA_36_2018,CA,36,2018,50.4,7.5,11.6,43.7,2.3,15.1,20.6,49.0,7.6,87.9,71.9,39.7,5.0,1.3,8.2,17.9,270400,46494,9.1,0.2593146036522366
CA_37_2018,CA,37,2018,51.9,11.2,19.5,35.5,2.5,16.8,38.9,37.4,3.3,88.1,62.6,49.2,4.2,8.6,8.5,18.5,730800,59069,8.4,0.44707595460408367
CA_38_2018,CA,38,2018,51.1,10.1,14.7,37.0,1.6,7.7,24.6,39.4,3.8,92.6,58.9,55.9,3.1,2.3,7.0,10.2,503800,72463,6.5,0.4278207502921513
CA_39_2018,CA,39,2018,49.9,9.1,13.6,38.4,1.5,6.9,41.7,20.8,4.3,89.3,30.4,49.3,3.4,1.5,5.9,9.9,659100,89300,6.0,0.4859141999955613
CA_40_2018,CA,40,2018,49.9,10.8,16.6,30.6,2.4,6.5,10.6,52.3,1.5,93.8,94.4,82.9,4.3,7.8,13.5,22.6,438800,47190,18.0,0.6460627833071105
CA_41_2018,CA,41,2018,49.9,12.9,17.0,30.7,2.0,7.1,17.4,37.7,4.9,87.3,79.5,51.8,5.3,2.1,9.8,13.8,340300,64658,12.0,0.33104241842743815
CA_42_2018,CA,42,2018,50.5,9.3,13.1,34.6,1.5,6.3,26.6,26.9,7.4,86.1,56.3,33.4,3.8,1.1,6.6,8.4,430800,83837,6.8,0.2326634596607451
CA_43_2018,CA,43,2018,51.9,8.7,16.2,36.1,2.2,12.1,27.6,51.8,4.2,90.1,64.2,54.6,4.0,4.6,9.6,16.6,562300,56655,10.5,0.4548817607117771
CA_44_2018,CA,44,2018,51.5,10.7,15.3,32.3,1.6,7.8,13.3,52.0,2.5,92.3,85.8,69.0,5.0,4.7,12.5,18.6,410200,50346,16.3,0.5060412015617026
CA_45_2018,CA,45,2018,51.7,9.0,14.0,38.8,1.6,8.9,55.0,9.0,4.7,85.0,19.8,37.7,2.6,0.9,4.4,9.1,719700,102040,3.1,0.4118158454513115
CA_46_2018,CA,46,2018,49.5,12.1,17.5,32.4,2.3,7.2,19.1,34.6,2.7,89.3,72.9,69.9,3.1,3.7,14.2,17.0,528700,65334,12.7,0.6372942096782461
CA_47_2018,CA,47,2018,51.3,10.1,15.3,37.5,2.4,12.4,33.1,37.4,4.7,88.6,38.9,49.3,3.1,3.7,7.0,15.5,596600,68300,9.1,0.4377069051167412
