California 44,D+35,Nanette Barragán,Democratic,2016,Incumbent re-elected.,√ Nanette Barragán (Democratic)[69]
,,,,,,Aja Brown (Democratic)[69]
California 45,R+3,Mimi Walters,Republican,2014,Incumbent lost re-election.,√ Katie Porter (Democratic)[69]
,,,,,New member elected.,Mimi Walters (Republican)[69]
,,,,,Democratic gain.,
California 46,D+15,Lou Correa,Democratic,2016,Incumbent re-elected.,√ Lou Correa (Democratic)[69]
,,,,,,Russell Lambert (Republican)[69]
California 47,D+13,Alan Lowenthal,Democratic,2012,Incumbent re-elected.,√ Alan Lowenthal (Democratic)[69]
,,,,,,John Briscoe (Republican)[69]
California 48,R+4,Dana Rohrabacher,Republican,1988,Incumbent lost re-election.,√ Harley Rouda (Democratic)[69]
,,,,,New member elected.,Dana Rohrabacher (Republican)[69]
,,,,,Democratic gain.,
California 49,R+1,Darrell Issa,Republican,2000,Incumbent retired.,√ Mike Levin (Democratic)[69]
,,,,,New member elected.,Diane Harkey (Republican)[69]
,,,,,Democratic gain.,
California 50,R+11,Duncan Hunter,Republican,2008,Incumbent re-elected.,√ Duncan Hunter (Republican)[69]
,,,,,,Ammar Campa-Najjar (Democratic)[69]
California 51,D+22,Juan Vargas,Democratic,2012,Incumbent re-elected.,√ Juan Vargas (Democratic)[69]
,,,,,,Juan Hidalgo Jr. (Republican)[69]
California 52,D+6,Scott Peters,Democratic,2012,Incumbent re-elected.,√ Scott Peters (Democratic)[69]
,,,,,,Omar Qudrat (Republican)[69]
California 53,D+14,Susan Davis,Democratic,2000,Incumbent re-elected.,√ Susan Davis (Democratic)[69]
,,,,,,Morgan Murtaugh (Republican)[69]
Colorado 1,D+21,Diana DeGette,Democratic,1996,Incumbent re-elected.,√ Diana DeGette (Democratic)[72]
,,,,,,Casper Stockham (Republican)[72]
,,,,,,Gary Swing (Unity)[73]
Colorado 2,D+9,Jared Polis,Democratic,2008,Incumbent retired to run for Governor.,√ Joe Neguse (Democratic)[72]
,,,,,New member elected.,Peter Yu (Republican)[72]
,,,,,Democratic hold.,
Colorado 3,R+6,Scott Tipton,Republican,2010,Incumbent re-elected.,√ Scott Tipton (Republican)[72]
,,,,,,Mary Malarsie (Independent)[74]
,,,,,,Diane Mitsch Bush (Democratic)[72]
Colorado 4,R+13,Ken Buck,Republican,2014,Incumbent re-elected.,√ Ken Buck (Republican)[72]
,,,,,,Karen McCormick (Democratic)[72]
Colorado 5,R+14,Doug Lamborn,Republican,2006,Incumbent re-elected.,√ Doug Lamborn (Republican)[72]
,,,,,,Stephany Rose Spaulding (Democratic)[72]
Colorado 6,D+2,Mike Coffman,Republican,2008,Incumbent lost re-election.,√ Jason Crow (Democratic)[72]
,,,,,New member elected.,Mike Coffman (Republican)[72]
,,,,,Democratic gain.,
Colorado 7,D+6,Ed Perlmutter,Democratic,2006,Incumbent re-elected.,√ Ed Perlmutter (Democratic) 60.4%[72]
,,,,,,Mark Barrington (Republican) 35.4%[72]
Connecticut 1,D+12,John Larson,Democratic,1998,Incumbent re-elected.,√ John Larson (Democratic) 63.7%[75]
,,,,,,Jennifer Nye (Republican) 35.2%[76]
,,,,,,Thomas McCormick (Green) 1.1%
Connecticut 2,D+3,Joe Courtney,Democratic,2006,Incumbent re-elected.,√ Joe Courtney (Democratic) 62.1% [77]
,,,,,,Danny Postemski (Republican) 35.5%[76]
,,,,,,Michelle Bicking (Green) 1.2%
Connecticut 3,D+9,Rosa DeLauro,Democratic,1990,Incumbent re-elected.,√ Rosa DeLauro (Democratic) 64.6%[78]
,,,,,,Angel Cadena (Republican) 35.4%[76]
Connecticut 4,D+7,Jim Himes,Democratic,2008,Incumbent re-elected.,√ Jim Himes (Democratic) 61.2%[79]
,,,,,,Harry Arora (Republican) 38.8%[76]
Connecticut 5,D+2,Elizabeth Esty,Democratic,2012,Incumbent retired.,√ Jahana Hayes (Democratic) 55.9%[80]
,,,,,New member elected.,Manny Santos (Republican) 44.1%[76]
,,,,,Democratic hold.,
Delaware at-large,D+6,Lisa Blunt Rochester,Democratic,2016,Incumbent re-elected.,√ Lisa Blunt Rochester (Democratic) 64.5%[81]
,,,,,,Scott Walker (Republican) 35.5%[81]
Florida 1,R+22,Matt Gaetz,Republican,2016,Incumbent re-elected.,√ Matt Gaetz (Republican) 67.1%[82]
,,,,,,Jennifer Zimmerman (Democratic) 32.9%[82]
Florida 2,R+18,Neal Dunn,Republican,2016,Incumbent re-elected.,√ Neal Dunn (Republican) 67.4%[82]
,,,,,,Bob Rackleff (Democratic) 32.6%[82]
Florida 3,R+9,Ted Yoho,Republican,2012,Incumbent re-elected.,√ Ted Yoho (Republican) 57.6% [82]
,,,,,,Yvonne Hayes Hinson (Democratic) 42.4%[82]
Florida 4,R+17,John Rutherford,Republican,2016,Incumbent re-elected.,√ John Rutherford (Republican) 65.2%[82]
,,,,,,Ges Selmont (Democratic) 32.3%[82]
,,,,,,Joceline Berrios (No Party Affiliation) 1.9%[82]
